"Name","Created","Runtime","End Time","Hostname","ID","Notes","Updated","Tags","model_name","checkpoint_dir","test_accuracy","test_f1","test_precision","test_recall","val_accuracy","val_f1","val_precision","val_recall"
"ru_model_train_en_seed46","2024-10-09T05:29:50.000Z","322","2024-10-09T05:35:12.000Z","gr007.hpc.nyu.edu","pnzt591c","-","2024-10-09T05:35:12.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed46","0.5202702702702703","0.5037622674597411","0.5164309709719058","0.5202702702702703","0.5477031802120141","0.5257275050377908","0.5195051301316593","0.5477031802120141"
"ru_model_train_fr_seed43","2024-10-09T09:07:04.000Z","230","2024-10-09T09:10:54.000Z","gr007.hpc.nyu.edu","oq0yvkr9","-","2024-10-09T09:10:54.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed43","0.04864864864864865","0.02781027897306967","0.06265054528212421","0.04864864864864865","0.12121212121212122","0.07427609427609429","0.10929416412188088","0.12121212121212122"
"ru_model_train_ar_seed42","2024-10-09T06:29:24.000Z","250","2024-10-09T06:33:34.000Z","gr007.hpc.nyu.edu","ooqf2bqj","-","2024-10-09T06:33:34.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed42","0.4368932038834951","0.382297878839061","0.410336100004264","0.4368932038834951","0.4642857142857143","0.3880924445952472","0.4422634914311335","0.4642857142857143"
"ru_model_train_hi_seed44","2024-10-09T08:14:25.000Z","213","2024-10-09T08:17:58.000Z","gr007.hpc.nyu.edu","1kzjw0tn","-","2024-10-09T08:17:58.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed44","0.1901840490797546","0.13127542202072967","0.13212117950574523","0.1901840490797546","0.2080536912751678","0.1516600603025633","0.14895496624301033","0.2080536912751678"
"ru_model_train_en_seed44","2024-10-09T05:46:04.000Z","323","2024-10-09T05:51:27.000Z","gr007.hpc.nyu.edu","1nhe02mo","-","2024-10-09T05:51:27.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed44","0.3716216216216216","0.244388607981283","0.259844483982415","0.3716216216216216","0.38515901060070673","0.26441655304573963","0.31519126398895","0.38515901060070673"
"ru_model_train_ru_seed42","2024-10-09T09:42:11.000Z","237","2024-10-09T09:46:08.000Z","gr007.hpc.nyu.edu","1sjey080","-","2024-10-09T09:46:08.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed42","0.24719101123595505","0.16375624219725343","0.30402319681043855","0.24719101123595505","0.26704545454545453","0.16770424366643363","0.2217235721267979","0.26704545454545453"
"ru_model_train_fr_seed46","2024-10-09T09:18:36.000Z","228","2024-10-09T09:22:24.000Z","gr007.hpc.nyu.edu","onu6fxku","-","2024-10-09T09:22:24.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed46","0.2648648648648649","0.11140238951397748","0.0705346650998825","0.2648648648648649","0.3151515151515151","0.1510403574919704","0.09932047750229568","0.3151515151515151"
"ru_model_train_ru_seed46","2024-10-09T09:38:14.000Z","236","2024-10-09T09:42:10.000Z","gr007.hpc.nyu.edu","onq6ykqy","-","2024-10-09T09:42:10.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed46","0.4943820224719101","0.4351959542931628","0.4790084718760203","0.4943820224719101","0.4318181818181818","0.3584576590627204","0.3098408624933425","0.4318181818181818"
"ru_model_train_hi_seed45","2024-10-09T08:17:59.000Z","213","2024-10-09T08:21:32.000Z","gr007.hpc.nyu.edu","odc8drzb","-","2024-10-09T08:21:32.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed45","0.196319018404908","0.06443290860468774","0.038541156987466595","0.196319018404908","0.2080536912751678","0.07166293810589112","0.043286338453222835","0.2080536912751678"
"ru_model_train_ru_seed44","2024-10-09T09:30:18.000Z","238","2024-10-09T09:34:16.000Z","gr007.hpc.nyu.edu","29cyym01","-","2024-10-09T09:34:16.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed44","0.5168539325842697","0.4317429954779819","0.4315884036463854","0.5168539325842697","0.4772727272727273","0.3990425979755248","0.4209535573122529","0.4772727272727273"
